step,kinetic_energy,angular_momentum_z
144,2257661644.835315,5.103647708892822e-07
145,2320367594.014222,-1.30385160446167e-07
146,2384370705.3812075,-4.991888999938965e-07
147,2449688742.454186,6.258487701416016e-07
148,2516339589.4397926,2.693384885787964e-06
149,2584341251.2303047,-2.0638108253479004e-06
150,2653711853.400541,3.688037395477295e-07
151,2724469642.204734,-7.37607479095459e-07
152,2796632984.573393,1.5720725059509277e-06
153,2870220368.110136,-7.7858567237854e-07
154,2945250401.0885077,-1.2442469596862793e-06
155,3021741812.4487705,4.250556230545044e-06
156,3099713451.794681,1.825392246246338e-07
157,3179184289.3902426,1.5273690223693848e-07
158,3260173416.156436,-1.1771917343139648e-06
159,3342700043.6679325,3.7997961044311523e-07
160,3426783504.1497817,2.8721988201141357e-06
161,3512443250.474086,8.828938007354736e-07
162,3599698856.1566443,-1.5012919902801514e-06
163,3688570015.3535843,-1.8291175365447998e-06
164,3779076542.8579683,-1.4863908290863037e-06
165,3871238374.09638,3.863126039505005e-06
166,3965075565.125491,3.941357135772705e-06
167,4060608292.628605,3.080815076828003e-06
168,4157856853.9121833,3.904104232788086e-06
169,4256841666.902348,-1.642853021621704e-06
170,4357583270.141366,4.0084123611450195e-06
171,4460102322.784108,6.15045428276062e-06
172,4564419604.594494,6.854534149169922e-07
173,4670556015.941912,-1.9669532775878906e-06
174,4778532577.797617,-2.2724270820617676e-07
175,4888370431.7311125,2.1979212760925293e-07
176,5000090839.906506,-8.791685104370117e-07
177,5113715185.078848,3.1925737857818604e-06
178,5229264970.59045,2.8312206268310547e-06
179,5346761820.367182,-1.2628734111785889e-06
180,5466227478.914739,3.5837292671203613e-06
181,5587683811.314908,-1.1511147022247314e-06
182,5711152803.221794,1.5757977962493896e-06
183,5836656560.858034,9.313225746154785e-07
184,5964217311.010994,3.0547380447387695e-06
185,6093857401.028933,2.9355287551879883e-06
186,6225599298.817159,6.3516199588775635e-06
187,6359465592.83416,2.380460500717163e-06
188,6495478992.08771,2.868473529815674e-06
189,6633662326.13096,3.285706043243408e-06
190,6774038545.058506,2.119690179824829e-06
191,6916630719.502432,2.3208558559417725e-06
192,7061462040.628344,-1.6838312149047852e-06
193,7208555820.131365,6.891787052154541e-07
194,7357935490.232136,-2.6673078536987305e-06
195,7509624603.67276,-3.986060619354248e-06
196,7663646833.712766,4.92483377456665e-06
197,7820025974.125013,-5.498528480529785e-06
198,7978785939.191607,-1.7881393432617188e-07
199,8139950763.699774,6.616115570068359e-06
